date,CPI_SG,Food_Index_SG,median_income_per_household_member_SG,income_index_SG,Food_Index_US,CPI_US,median_income_per_household_member_US,income_index_US
2023-03-01,150.07751937984494,149.6124031007752,3500.0,283.1715210355987,182.95287356321842,173.4689655172414,32115.53784860558,197.3281439614251
2023-02-01,149.30232558139534,148.99224806201548,3500.0,283.1715210355987,182.7873563218391,172.8965517241379,32115.53784860558,197.3281439614251
2023-01-01,148.52713178294573,148.99224806201548,3500.0,283.1715210355987,182.01436781609195,171.9367816091954,32115.53784860558,197.3281439614251
2022-12-01,148.21705426356587,146.8217054263566,3287.0,265.93851132686086,180.7235632183908,170.57298850574713,29713.147410358568,182.56708816081235
2022-11-01,147.90697674418604,146.35658914728683,3287.0,265.93851132686086,180.15344827586205,171.098275862069,29713.147410358568,182.56708816081235
2022-10-01,146.51162790697674,145.73643410852713,3287.0,265.93851132686086,179.80459770114945,171.2712643678161,29713.147410358568,182.56708816081235
2022-09-01,147.13178294573643,145.27131782945736,3287.0,265.93851132686086,178.55057471264368,170.57931034482758,29713.147410358568,182.56708816081235
2022-08-01,146.35658914728683,144.1860465116279,3287.0,265.93851132686086,177.32758620689657,170.2132183908046,29713.147410358568,182.56708816081235
2022-07-01,145.11627906976742,143.4108527131783,3287.0,265.93851132686086,176.02183908045978,170.27356321839082,29713.147410358568,182.56708816081235
2022-06-01,144.8062015503876,142.32558139534882,3287.0,265.93851132686086,174.11896551724138,170.29367816091954,29713.147410358568,182.56708816081235
2022-05-01,143.4108527131783,140.93023255813955,3287.0,265.93851132686086,172.46034482758623,167.98620689655172,29713.147410358568,182.56708816081235
2022-04-01,142.015503875969,140.15503875968992,3287.0,265.93851132686086,170.64080459770116,166.1545977011494,29713.147410358568,182.56708816081235
2022-03-01,142.1705426356589,138.91472868217053,3287.0,265.93851132686086,169.00229885057473,165.23218390804598,29713.147410358568,182.56708816081235
2022-02-01,140.46511627906975,137.8294573643411,3287.0,265.93851132686086,167.38160919540232,163.05517241379312,29713.147410358568,182.56708816081235
2022-01-01,139.2248062015504,137.67441860465115,3287.0,265.93851132686086,165.6689655172414,161.5793103448276,29713.147410358568,182.56708816081235
2021-12-01,139.2248062015504,136.74418604651163,3027.0,244.90291262135923,164.1126436781609,160.23103448275864,28312.0,173.95798999761848
2021-11-01,138.6046511627907,136.43410852713177,3027.0,244.90291262135923,163.31494252873563,159.74022988505746,28312.0,173.95798999761848
2021-10-01,137.2093023255814,135.96899224806202,3027.0,244.90291262135923,162.61091954022987,158.95919540229886,28312.0,173.95798999761848
2021-09-01,136.74418604651163,135.81395348837208,3027.0,244.90291262135923,161.1793103448276,157.64942528735634,28312.0,173.95798999761848
2021-08-01,136.27906976744185,135.50387596899225,3027.0,244.90291262135923,159.88563218390806,157.22241379310344,28312.0,173.95798999761848
2021-07-01,135.50387596899225,135.19379844961242,3027.0,244.90291262135923,159.3028735632184,156.89827586206897,28312.0,173.95798999761848
2021-06-01,135.81395348837208,135.03875968992247,3027.0,244.90291262135923,158.26436781609195,156.14712643678163,28312.0,173.95798999761848
2021-05-01,135.81395348837208,134.88372093023256,3027.0,244.90291262135923,157.14999999999998,154.70977011494253,28312.0,173.95798999761848
2021-04-01,134.72868217054264,134.5736434108527,3027.0,244.90291262135923,156.53275862068966,153.47931034482758,28312.0,173.95798999761848
2021-03-01,134.88372093023256,134.41860465116278,3027.0,244.90291262135923,155.82471264367817,152.22816091954024,28312.0,173.95798999761848
